Place Name	Function	Importance	Lat-Long	Dates of Operation (Cal. BC)	Description Summary
Khirbat Faynan	Architecture	Major	30.626322°N, 35.493381°E	ca. 1188–771 BCE (Iron I–II) 6, 7.	An extensive archaeological Tel buried under Roman-Byzantine ruins. Features major adjacent Iron Age slag heaps, pottery scatters, and agricultural fields 2. Faynan 5 is the second-largest smelting site in the region with ~30,000 tons of slag, showing furnace and tap slag, tuyères, and 8th-century BCE installations 4.
Faynan 5	Smelting	Major	30.627053°N, 35.496558°E	ca. 1188–771 BCE (Iron I–II) 6, 7.	An extensive archaeological Tel buried under Roman-Byzantine ruins. Features major adjacent Iron Age slag heaps, pottery scatters, and agricultural fields 2. Faynan 5 is the second-largest smelting site in the region with ~30,000 tons of slag, showing furnace and tap slag, tuyères, and 8th-century BCE installations 4.
Faynan 7	Smelting	Major	30.628694°N, 35.494478°E	ca. 1188–771 BCE (Iron I–II) 6, 7.	An extensive archaeological Tel buried under Roman-Byzantine ruins. Features major adjacent Iron Age slag heaps, pottery scatters, and agricultural fields 2. Faynan 5 is the second-largest smelting site in the region with ~30,000 tons of slag, showing furnace and tap slag, tuyères, and 8th-century BCE installations 4.
Wadi Dana	Smelting	Minor	30.631522°N, 35.4900°E	ca. 12th to late 10th century BCE (LBA to Early Iron) 8.	Located in the "Northwest cemetery" of Khirbat Faynan 8. Features thin plate slag and small reed-impressed tuyères identical to those of Late Bronze Age Timna Site 30 8.
Wadi Faynan	Agricultre	Minor	30.625°N, 35.471°E	ca. 841–771 BCE (Iron II) 7.	Extensive field terraces containing scatters of Iron Age pottery, representing agricultural activity supporting the smelting population 9.
Wadi Abiad	Mining	Medium	30.654°N, 35.494°E	Iron Age II (by pottery) 9.	Features 14 blackish mining waste dumps from shafts dug into the lower Umm Ishrin formation to reach the buried Burj (DLS) ore body below 9.
Wadi Khalid	Mining	Major	30.645°N, 35.498°E	Middle Bronze, LBA (1500–1432 BCE) through the Iron Age 12, 13.	A model mining district studied by the GMM containing 56 recorded mines 10. Features double shafts dug through the Umm Ishrin formation to exploit deeper Burj (DLS) ore 10. Mine 42 was active in the LBA 12, while WF 1422 features both Iron Age double shafts and a Roman prospection shaft 11.
Mine 42	Mining	Major	30.639637°N, 35.490935°E	Middle Bronze, LBA (1500–1432 BCE) through the Iron Age 12, 13.	A model mining district studied by the GMM containing 56 recorded mines 10. Features double shafts dug through the Umm Ishrin formation to exploit deeper Burj (DLS) ore 10. Mine 42 was active in the LBA 12, while WF 1422 features both Iron Age double shafts and a Roman prospection shaft 11.
WF 1422	Mining	Major	30.642916°N, 35.492923°E	Middle Bronze, LBA (1500–1432 BCE) through the Iron Age 12, 13.	A model mining district studied by the GMM containing 56 recorded mines 10. Features double shafts dug through the Umm Ishrin formation to exploit deeper Burj (DLS) ore 10. Mine 42 was active in the LBA 12, while WF 1422 features both Iron Age double shafts and a Roman prospection shaft 11.
Wadi Dana	Mining	Medium	30.644°N, 35.506°E	ca. 1262–1056 BCE (LBA to Iron I) 13, 14.	Contains 14 mines on the mountain slopes north of Wadi Dana 11. Wood from Mine 13's tailing dump dates to the Late Bronze/Iron I transition 14. WF1431 represents a small building with an enclosure 14.
Mine 13	Mining	Medium	30.641904°N, 35.505281°E	ca. 1262–1056 BCE (LBA to Iron I) 13, 14.	Contains 14 mines on the mountain slopes north of Wadi Dana 11. Wood from Mine 13's tailing dump dates to the Late Bronze/Iron I transition 14. WF1431 represents a small building with an enclosure 14.
Ras en-Naqb	Smelting	Minor	30.651944°N, 35.463333°E	Iron Age II (reprocessing EBA slag) 15.	Located on a hilltop mountain pass 15. Features a 100-ton heap of slag reprocessed and remelted during the Iron Age II to extract metal inclusions, along with rock-cut cup marks for slag crushing 15.
Khirbat en-Nahas (KEN)	Smelting	Major	30.679626°N, 35.436231°E	ca. 1373–976 BCE (LBA to end of Iron IIA) 16-18.	One of the largest smelting centers in the Levant, featuring dozens of slag mounds (~50,000–60,000 tons of slag) 16. Includes a 73x73m fortress, monumental buildings, a gatehouse converted to a smelting workshop (Area A), and a highly specialized refining workshop (Area F) 16.
Khirbat al-Jariya (KAJ)	Smelting	Major	30.70573°N, 35.452106°E	ca. 1192–936 BCE (Late 12th to late 10th century BCE) 13, 19.	Extensive unfortified smelting site on both sides of Wadi al-Jariya containing 15,000–20,000 tons of slag 19. Represents the early, unfortified phase of Iron Age smelting before the consolidation at KEN 19.
Wadi al-Jariya	Mining	Major	30.710°N, 35.456°E	Iron Age 20.	Surveyed wadi valley featuring ~50 recorded mines, at least 26 of which yielded Iron Age pottery 20. Mines consist of shafts dug into the Umm Ishrin sandstone to exploit the buried Burj (DLS) formation 20.
Ras al-Miyah	Smelting	Major	30.703°N, 35.486°E	Late Iron Age (not earlier than the 8th to 6th centuries BCE) 21.	Dense concentration of late Iron Age sites in the upper Wadi Ghuweiba 21. RAM East features a massive sandstone block fortress next to a mining complex 22. RAM West features a local dolomite tower, rooms, and a courtyard 23. Represents late Edomite plateau-fringe operations 21.
RAM East	Mining	Major	 30.703212°N, 35.486475°E	Late Iron Age (not earlier than the 8th to 6th centuries BCE) 21.	Dense concentration of late Iron Age sites in the upper Wadi Ghuweiba 21. RAM East features a massive sandstone block fortress next to a mining complex 22. RAM West features a local dolomite tower, rooms, and a courtyard 23. Represents late Edomite plateau-fringe operations 21.
RAM West	Mining	Major	30.701085°N, 35.471208°E	Late Iron Age (not earlier than the 8th to 6th centuries BCE) 21.	Dense concentration of late Iron Age sites in the upper Wadi Ghuweiba 21. RAM East features a massive sandstone block fortress next to a mining complex 22. RAM West features a local dolomite tower, rooms, and a courtyard 23. Represents late Edomite plateau-fringe operations 21.
