location name,latitude,longitude,start year,end time,title,description
header,,,,,,Faynan Archaeological District Mining & Metallurgy
Khirbat Faynan,30.626322,35.493381,-1188,-771,Stone_Feature,"An extensive archaeological Tel buried under Roman-Byzantine ruins. Features major adjacent Iron Age slag heaps, pottery scatters, and agricultural fields 2. Faynan 5 is the second-largest smelting site in the region with ~30,000 tons of slag, showing furnace and tap slag, tuyères, and 8th-century BCE installations 4."
Faynan 5,30.627053,35.496558,-1188,-771,Smelting,"An extensive archaeological Tel buried under Roman-Byzantine ruins. Features major adjacent Iron Age slag heaps, pottery scatters, and agricultural fields 2. Faynan 5 is the second-largest smelting site in the region with ~30,000 tons of slag, showing furnace and tap slag, tuyères, and 8th-century BCE installations 4."
Faynan 7,30.628694,35.494478,-1188,-771,Smelting,"An extensive archaeological Tel buried under Roman-Byzantine ruins. Features major adjacent Iron Age slag heaps, pottery scatters, and agricultural fields 2. Faynan 5 is the second-largest smelting site in the region with ~30,000 tons of slag, showing furnace and tap slag, tuyères, and 8th-century BCE installations 4."
Wadi Dana,30.631522,35.49,-1200,-900,Smelting,"Located in the ""Northwest cemetery"" of Khirbat Faynan 8. Features thin plate slag and small reed-impressed tuyères identical to those of Late Bronze Age Timna Site 30 8."
Wadi Faynan,30.625,35.471,-841,-771,Agriculture,"Extensive field terraces containing scatters of Iron Age pottery, representing agricultural activity supporting the smelting population 9."
Wadi Abiad,30.654,35.494,-1000,-600,Mining,Features 14 blackish mining waste dumps from shafts dug into the lower Umm Ishrin formation to reach the buried Burj (DLS) ore body below 9.
Wadi Khalid,30.645,35.498,-1500,-586,Mining,"A model mining district studied by the GMM containing 56 recorded mines 10. Features double shafts dug through the Umm Ishrin formation to exploit deeper Burj (DLS) ore 10. Mine 42 was active in the LBA 12, while WF 1422 features both Iron Age double shafts and a Roman prospection shaft 11."
Mine 42,30.639637,35.490935,-1500,-586,Mining,"A model mining district studied by the GMM containing 56 recorded mines 10. Features double shafts dug through the Umm Ishrin formation to exploit deeper Burj (DLS) ore 10. Mine 42 was active in the LBA 12, while WF 1422 features both Iron Age double shafts and a Roman prospection shaft 11."
WF 1422,30.642916,35.492923,-1500,-586,Mining,"A model mining district studied by the GMM containing 56 recorded mines 10. Features double shafts dug through the Umm Ishrin formation to exploit deeper Burj (DLS) ore 10. Mine 42 was active in the LBA 12, while WF 1422 features both Iron Age double shafts and a Roman prospection shaft 11."
Wadi Dana,30.644,35.506,-1262,-1056,Mining,Contains 14 mines on the mountain slopes north of Wadi Dana 11. Wood from Mine 13's tailing dump dates to the Late Bronze/Iron I transition 14. WF1431 represents a small building with an enclosure 14.
Mine 13,30.641904,35.505281,-1262,-1056,Mining,Contains 14 mines on the mountain slopes north of Wadi Dana 11. Wood from Mine 13's tailing dump dates to the Late Bronze/Iron I transition 14. WF1431 represents a small building with an enclosure 14.
Ras en-Naqb,30.651944,35.463333,-1000,-600,Smelting,"Located on a hilltop mountain pass 15. Features a 100-ton heap of slag reprocessed and remelted during the Iron Age II to extract metal inclusions, along with rock-cut cup marks for slag crushing 15."
Khirbat en-Nahas (KEN),30.679626,35.436231,-1373,-976,Smelting,"One of the largest smelting centers in the Levant, featuring dozens of slag mounds (~50,000–60,000 tons of slag) 16. Includes a 73x73m fortress, monumental buildings, a gatehouse converted to a smelting workshop (Area A), and a highly specialized refining workshop (Area F) 16."
Khirbat al-Jariya (KAJ),30.70573,35.452106,-1192,-936,Smelting,"Extensive unfortified smelting site on both sides of Wadi al-Jariya containing 15,000–20,000 tons of slag 19. Represents the early, unfortified phase of Iron Age smelting before the consolidation at KEN 19."
Wadi al-Jariya,30.71,35.456,-1200,-586,Mining,"Surveyed wadi valley featuring ~50 recorded mines, at least 26 of which yielded Iron Age pottery 20. Mines consist of shafts dug into the Umm Ishrin sandstone to exploit the buried Burj (DLS) formation 20."
